album_number,album,track_number,song,artist,url,release_date
1,ETERNAL,1,베스트 송,Young K,https://youtu.be/F36HIFtYrx0,2021년 9월 6일
1,ETERNAL,2,끝까지 안아 줄게,Young K,https://youtu.be/CvRmnzP8t8A,2021년 9월 6일
1,ETERNAL,3,사랑은 얼어 죽을,Young K,https://youtu.be/wU_6--S2uA0,2021년 9월 6일
1,ETERNAL,4,Microphone (Feat. 다운(Dvwn)),Young K,https://youtu.be/eMjUnSgwwc0,2021년 9월 6일
1,ETERNAL,5,want to love you,Young K,https://youtu.be/Er0VxHCsxDc,2021년 9월 6일
1,ETERNAL,6,그대로 와 줘요,Young K,https://youtu.be/lQG31moctpA,2021년 9월 6일
1,ETERNAL,7,잘 자라 내 사람아,Young K,https://youtu.be/okVE_p9BAFM,2021년 9월 6일
2,Letters with notes,1,오늘만을 너만을 이날을,Young K,https://youtu.be/IYdSHLtY3UI,2023년 9월 4일
2,Letters with notes,2,이것밖에는 없다,Young K,https://youtu.be/fQCYbRR_l-g,2023년 9월 4일
2,Letters with notes,3,let it be summer,Young K,https://youtu.be/ZUk_ZgWEd6I,2023년 9월 4일
2,Letters with notes,4,꿈꾼 (Dreamer),Young K,https://youtu.be/ccKikk71rtM,2023년 9월 4일
2,Letters with notes,5,Bungee Jumping,Young K,https://youtu.be/MMJsaslwkdA,2023년 9월 4일
2,Letters with notes,6,natural,Young K,https://youtu.be/xn-X1yjM0kQ,2023년 9월 4일
2,Letters with notes,7,STRANGE,Young K,https://youtu.be/KeCUEwY0iBI,2023년 9월 4일
2,Letters with notes,8,SOUL (Feat. 최엘비),Young K,https://youtu.be/xdImJLrZvc4,2023년 9월 4일
2,Letters with notes,9,playground,Young K,https://youtu.be/RB0DwJxtyp8,2023년 9월 4일
2,Letters with notes,10,babo,Young K,https://youtu.be/8xRwwRH_cFQ,2023년 9월 4일
2,Letters with notes,11,what is..,Young K,https://youtu.be/DQwlPQm69PY,2023년 9월 4일
1,30,1,동화 속 아이처럼,성진,https://youtu.be/S2SuL7jfSDk,2024년 11월 5일
1,30,2,Check Pattern,성진,https://youtu.be/Uv2ltkUTbEw,2024년 11월 5일
1,30,3,아무것도 안 하고 싶다,성진,https://youtu.be/-hb22SIK8mM,2024년 11월 5일
1,30,4,어디에도 없는 널,성진,https://youtu.be/GjxHiJnsePs,2024년 11월 5일
1,30,5,나무는 결국 겨울을 견뎌낼 거야,성진,https://youtu.be/_iyL9y-SI6E,2024년 11월 5일
